EPA AQS ID,Country Code,Data Source,EPA Region,Elevation,GMT Offset Amount (hours),Latitude,Local Time at Monitor,Longitude,OZONE,Ozone & PM AQI,Ozone & PM AQI (For Labeling),Ozone & PM AQI (For Sorting),Ozone AQI,Ozone AQI (For Labeling),Ozone AQI (For Sorting),Ozone Measured at Site,Ozone Unit of Measure,PM10,PM10 AQI,PM10 AQI (For Labeling),PM10 AQI (For Sorting),PM10 Measured at Site,PM10 Unit of Measure,PM2.5,PM2.5 AQI,PM2.5 AQI (For Labeling),PM2.5 AQI (For Sorting),PM2.5 Measured at Site,PM2.5 Unit of Measure,PM2.5 & PM10 AQI,PM2.5 & PM10 AQI (For Labeling),PM2.5 & PM10 AQI (For Sorting),Reporting Area(s),Site Name,State Name,Site Operational Status,ValidTime,ObjectId,MonitorType,x,y
060530008,US,Monterey Bay Unified APCD,R9,102.8,-8,36.209286,2025-05-15 20:00:00 GMT-8,-121.126371,35,44,44,44,35,35,35,1,PPB,34.0,36.0,36,36,1,UG/M3,6,44,44,44,1,UG/M3,44,44,44,King City,King City AMS,CA,Active,5/16/2025 4:00:00 AM,479154286,Permanent,-13483725.9413571,4329457.14711051
060531003,US,Monterey Bay Unified APCD,R9,10.1,-8,36.694261,2025-05-15 20:00:00 GMT-8,-121.623271,38,56,56,56,34,34,34,1,PPB,,,ND,-999,0,,14,56,56,56,1,UG/M3,56,56,56,Salinas|Marina and Seaside|Monterey Peninsula,Salinas AMS,CA,Active,5/16/2025 4:00:00 AM,479154287,Permanent,-13539040.5963323,4396575.96457041
060539973,US,Monterey Bay Unified APCD,R9,0,-8,36.511942,2025-05-15 20:00:00 GMT-8,-121.442794,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Gonzales,CA,Inactive,5/16/2025 4:00:00 AM,479154288,Permanent,-13518949.9885924,4371294.38705243
060539974,US,Monterey Bay Unified APCD,R9,0,-8,36.427975,2025-05-15 20:00:00 GMT-8,-121.327819,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Soledad,CA,Inactive,5/16/2025 4:00:00 AM,479154289,Permanent,-13506151.0301385,4359670.99726598
060539975,US,Monterey Bay Unified APCD,R9,0,-8,36.326972,2025-05-15 20:00:00 GMT-8,-121.245819,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Greenfield,CA,Inactive,5/16/2025 4:00:00 AM,479154290,Permanent,-13497022.8318934,4345705.98933444
060539977,US,Monterey Bay Unified APCD,R9,0,-8,36.542105,2025-05-15 20:00:00 GMT-8,-121.92295,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Carmel River School,CA,Inactive,5/16/2025 4:00:00 AM,479154291,Permanent,-13572400.7100138,4375472.87041648
060539981,US,Monterey Bay Unified APCD,R9,0,-8,36.636753,2025-05-15 20:00:00 GMT-8,-121.807495,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Marshall Park Elementary,CA,Inactive,5/16/2025 4:00:00 AM,479154292,Permanent,-13559548.3182042,4388595.06407887
060539982,US,Monterey Bay Unified APCD,R9,0,-8,36.620125,2025-05-15 20:00:00 GMT-8,-121.816645,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,MPWMD,CA,Inactive,5/16/2025 4:00:00 AM,479154293,Permanent,-13560566.891545,4386288.55808431
060539983,US,Monterey Bay Unified APCD,R9,0,-8,36.606912,2025-05-15 20:00:00 GMT-8,-121.898879,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Presidio of Monterey,CA,Inactive,5/16/2025 4:00:00 AM,479154294,Permanent,-13569721.1385509,4384456.10886099
060539984,US,Monterey Bay Unified APCD,R9,0,-8,36.598671,2025-05-15 20:00:00 GMT-8,-121.838383,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Del Rey Woods,CA,Inactive,5/16/2025 4:00:00 AM,479154295,Permanent,-13562986.7546358,4383313.36203507
